parameter_index,smirks,original_value,covered_molecule_count,nonzero_atom_count
249,"[#8X1,#8X2:1]-[#9:2]",0.0375,0,0
250,"[#8X1,#8X2:1]-[#17:2]",0.0014,0,0
251,"[#8X1,#8X2:1]-[#35:2]",0.0699,0,0
252,"[#8X1,#8X2:1]-[#53:2]",0.1712,0,0
253,"[#8X1,#8X2:1]-[#1:2]",-0.201,4307,11915
254,"[#8X1,#8X2:1]=[#16X4:2]",0.2792,1678,5425
255,"[#8X1,#8X2:1]=[#16X3:2]",0.2718,194,397
256,"[#8X1,#8X2:1]=[#16X1,#16X2:2]",0.1583,6,15
257,"[#8X1,#8X2:1]:[#16X1,#16X2:2]",0.0983,0,0
258,"[#8X1,#8X2:1]~[#16X4:2]",0.3228,0,0
259,"[#8X1,#8X2:1]~[#16X3:2]",0.3916,0,0
260,"[#8X1,#8X2:1]~[#16X1,#16X2:2]",0.153,0,0
261,[#16X4:1]-[#9:2],-0.2041,14,38
262,[#16X4:1]-[#17:2],-0.2761,16,36
263,[#16X4:1]-[#35:2],-0.197,0,0
264,[#16X4:1]-[#53:2],-0.149,0,0
265,[#16X4:1]-[#1:2],-0.4588,0,0
266,[#16X3:1]-[#16X3:2],0.0,0,0
267,[#16X3:1]-[#17:2],-0.235,3,6
268,[#16X3:1]-[#1:2],-0.404,0,0
269,"[#16X1,#16X2:1]-[#16X4:2]",0.2971,20,45
270,"[#16X1,#16X2:1]-[#16X3:2]",0.2576,6,12
271,"[#16X1,#16X2:1]-[#16X1,#16X2:2]",0.0,199,420
272,"[#16X1,#16X2:1]-[#14X4:2]",-0.0936,0,0
273,"[#16X1,#16X2:1]-[#9:2]",-0.0547,2,6
274,"[#16X1,#16X2:1]-[#17:2]",-0.026,5,10
275,"[#16X1,#16X2:1]-[#35:2]",0.1105,2,6
276,"[#16X1,#16X2:1]-[#1:2]",-0.1718,299,685
277,"[#16X1,#16X2:1]=[#16X3:2]",0.3295,0,0
278,"[#16X1,#16X2:1]:[#16X1,#16X2:2]",0.0,0,0
279,"[#16X1,#16X2:1]~[#16X4:2]",0.5218,0,0
280,[#14X4:1]-[#17:2],-0.0555,0,0
281,[#14X4:1]-[#1:2],-0.0258,0,0
